period,respondent,respondent-name,type,type-name,timezone,timezone-description,value,value-units,city,state
2025-07-26,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,501454,megawatthours,New York,New York
2025-07-25,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,575639,megawatthours,New York,New York
2025-07-24,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,524638,megawatthours,New York,New York
2025-07-23,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,466856,megawatthours,New York,New York
2025-07-22,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,443227,megawatthours,New York,New York
2025-07-21,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,493897,megawatthours,New York,New York
2025-07-20,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,507938,megawatthours,New York,New York
2025-07-19,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,454397,megawatthours,New York,New York
2025-07-18,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,492801,megawatthours,New York,New York
2025-07-17,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,594728,megawatthours,New York,New York
2025-07-16,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,587198,megawatthours,New York,New York
2025-07-15,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,553254,megawatthours,New York,New York
2025-07-14,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,554606,megawatthours,New York,New York
2025-07-13,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,510365,megawatthours,New York,New York
2025-07-12,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,514639,megawatthours,New York,New York
2025-07-11,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,533381,megawatthours,New York,New York
2025-07-10,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,530750,megawatthours,New York,New York
2025-07-09,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,556728,megawatthours,New York,New York
2025-07-08,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,574492,megawatthours,New York,New York
2025-07-07,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,565879,megawatthours,New York,New York
2025-07-06,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,500009,megawatthours,New York,New York
2025-07-05,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,439855,megawatthours,New York,New York
2025-07-04,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,412395,megawatthours,New York,New York
2025-07-03,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,494340,megawatthours,New York,New York
2025-07-02,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,510732,megawatthours,New York,New York
2025-07-01,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,553433,megawatthours,New York,New York
2025-06-30,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,532117,megawatthours,New York,New York
2025-06-29,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,478643,megawatthours,New York,New York
2025-06-28,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,436440,megawatthours,New York,New York
2025-06-27,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,425393,megawatthours,New York,New York
2025-06-26,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,504822,megawatthours,New York,New York
2025-06-25,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,631325,megawatthours,New York,New York
2025-06-24,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,634989,megawatthours,New York,New York
2025-06-23,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,605720,megawatthours,New York,New York
2025-06-22,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,499901,megawatthours,New York,New York
2025-06-21,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,453899,megawatthours,New York,New York
2025-06-20,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,445034,megawatthours,New York,New York
2025-06-19,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,486067,megawatthours,New York,New York
2025-06-18,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,442047,megawatthours,New York,New York
2025-06-17,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,403093,megawatthours,New York,New York
2025-06-16,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,385072,megawatthours,New York,New York
2025-06-15,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,346071,megawatthours,New York,New York
2025-06-14,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,360984,megawatthours,New York,New York
2025-06-13,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,410319,megawatthours,New York,New York
2025-06-12,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,442764,megawatthours,New York,New York
2025-06-11,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,408877,megawatthours,New York,New York
2025-06-10,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,391678,megawatthours,New York,New York
2025-06-09,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,393737,megawatthours,New York,New York
2025-06-08,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,372609,megawatthours,New York,New York
2025-06-07,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,407747,megawatthours,New York,New York
2025-06-06,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,459310,megawatthours,New York,New York
2025-06-05,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,450580,megawatthours,New York,New York
2025-06-04,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,398247,megawatthours,New York,New York
2025-06-03,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,361515,megawatthours,New York,New York
2025-06-02,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,340152,megawatthours,New York,New York
2025-06-01,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,321141,megawatthours,New York,New York
2025-05-31,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,347440,megawatthours,New York,New York
2025-05-30,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,364810,megawatthours,New York,New York
2025-05-29,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,364022,megawatthours,New York,New York
2025-05-28,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,359169,megawatthours,New York,New York
2025-05-27,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,353250,megawatthours,New York,New York
2025-05-26,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,315141,megawatthours,New York,New York
2025-05-25,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,317846,megawatthours,New York,New York
2025-05-24,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,330395,megawatthours,New York,New York
2025-05-23,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,365159,megawatthours,New York,New York
2025-05-22,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,374452,megawatthours,New York,New York
2025-05-21,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,370021,megawatthours,New York,New York
2025-05-20,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,345213,megawatthours,New York,New York
2025-05-19,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,352986,megawatthours,New York,New York
2025-05-18,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,352067,megawatthours,New York,New York
2025-05-17,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,371042,megawatthours,New York,New York
2025-05-16,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,381591,megawatthours,New York,New York
2025-05-15,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,378697,megawatthours,New York,New York
2025-05-14,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,374649,megawatthours,New York,New York
2025-05-13,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,371528,megawatthours,New York,New York
2025-05-12,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,350168,megawatthours,New York,New York
2025-05-11,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,314285,megawatthours,New York,New York
2025-05-10,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,319321,megawatthours,New York,New York
2025-05-09,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,372257,megawatthours,New York,New York
2025-05-08,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,368991,megawatthours,New York,New York
2025-05-07,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,357163,megawatthours,New York,New York
2025-05-06,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,365045,megawatthours,New York,New York
2025-05-05,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,370613,megawatthours,New York,New York
2025-05-04,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,351454,megawatthours,New York,New York
2025-05-03,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,359167,megawatthours,New York,New York
2025-05-02,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,364283,megawatthours,New York,New York
2025-05-01,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,342641,megawatthours,New York,New York
2025-04-30,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,345429,megawatthours,New York,New York
2025-04-29,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,350034,megawatthours,New York,New York
2025-04-28,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,338108,megawatthours,New York,New York
2025-04-27,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,319753,megawatthours,New York,New York
2025-04-26,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,350989,megawatthours,New York,New York
2025-04-25,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,356956,megawatthours,New York,New York
2025-04-24,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,347655,megawatthours,New York,New York
2025-04-23,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,340232,megawatthours,New York,New York
2025-04-22,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,349718,megawatthours,New York,New York
2025-04-21,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,359352,megawatthours,New York,New York
2025-04-20,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,310102,megawatthours,New York,New York
2025-04-19,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,338963,megawatthours,New York,New York
2025-04-18,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,344463,megawatthours,New York,New York
2025-04-17,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,346878,megawatthours,New York,New York
2025-04-16,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,382310,megawatthours,New York,New York
2025-04-15,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,357518,megawatthours,New York,New York
2025-04-14,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,353510,megawatthours,New York,New York
2025-04-13,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,341598,megawatthours,New York,New York
2025-04-12,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,381150,megawatthours,New York,New York
2025-04-11,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,391914,megawatthours,New York,New York
2025-04-10,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,391883,megawatthours,New York,New York
2025-04-09,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,380058,megawatthours,New York,New York
2025-04-08,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,390632,megawatthours,New York,New York
2025-04-07,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,383201,megawatthours,New York,New York
2025-04-06,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,347576,megawatthours,New York,New York
2025-04-05,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,355164,megawatthours,New York,New York
2025-04-04,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,346729,megawatthours,New York,New York
2025-04-03,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,377519,megawatthours,New York,New York
2025-04-02,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,387527,megawatthours,New York,New York
2025-04-01,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,358784,megawatthours,New York,New York
2025-03-31,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,370439,megawatthours,New York,New York
2025-03-30,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,360251,megawatthours,New York,New York
2025-03-29,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,356584,megawatthours,New York,New York
2025-03-28,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,373815,megawatthours,New York,New York
2025-03-27,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,371568,megawatthours,New York,New York
2025-03-26,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,383131,megawatthours,New York,New York
2025-03-25,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,378674,megawatthours,New York,New York
2025-03-24,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,398827,megawatthours,New York,New York
2025-03-23,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,351612,megawatthours,New York,New York
2025-03-22,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,354942,megawatthours,New York,New York
2025-03-21,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,360106,megawatthours,New York,New York
2025-03-20,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,365904,megawatthours,New York,New York
2025-03-19,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,354325,megawatthours,New York,New York
2025-03-18,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,367109,megawatthours,New York,New York
2025-03-17,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,383316,megawatthours,New York,New York
2025-03-16,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,350585,megawatthours,New York,New York
2025-03-15,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,353508,megawatthours,New York,New York
2025-03-14,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,362794,megawatthours,New York,New York
2025-03-13,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,374367,megawatthours,New York,New York
2025-03-12,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,380035,megawatthours,New York,New York
2025-03-11,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,360839,megawatthours,New York,New York
2025-03-10,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,368767,megawatthours,New York,New York
2025-03-08,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,379947,megawatthours,New York,New York
2025-03-07,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,406048,megawatthours,New York,New York
2025-03-06,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,403469,megawatthours,New York,New York
2025-03-05,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,407344,megawatthours,New York,New York
2025-03-04,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,420282,megawatthours,New York,New York
2025-03-03,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,430754,megawatthours,New York,New York
2025-03-02,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,417602,megawatthours,New York,New York
2025-03-01,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,391122,megawatthours,New York,New York
2025-07-26,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,435705,megawatthours,New York,New York
2025-07-25,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,500494,megawatthours,New York,New York
2025-07-24,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,462684,megawatthours,New York,New York
2025-07-23,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,404261,megawatthours,New York,New York
2025-07-22,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,389838,megawatthours,New York,New York
2025-07-21,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,416016,megawatthours,New York,New York
2025-07-20,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,425706,megawatthours,New York,New York
2025-07-19,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,384080,megawatthours,New York,New York
2025-07-18,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,426377,megawatthours,New York,New York
2025-07-17,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,516245,megawatthours,New York,New York
2025-07-16,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,512338,megawatthours,New York,New York
2025-07-15,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,492037,megawatthours,New York,New York
2025-07-14,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,480895,megawatthours,New York,New York
2025-07-13,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,434966,megawatthours,New York,New York
2025-07-12,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,435965,megawatthours,New York,New York
2025-07-11,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,456131,megawatthours,New York,New York
2025-07-10,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,453754,megawatthours,New York,New York
2025-07-09,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,476766,megawatthours,New York,New York
2025-07-08,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,497173,megawatthours,New York,New York
2025-07-07,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,492886,megawatthours,New York,New York
2025-07-06,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,419388,megawatthours,New York,New York
2025-07-05,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,368784,megawatthours,New York,New York
2025-07-04,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,349539,megawatthours,New York,New York
2025-07-03,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,436481,megawatthours,New York,New York
2025-07-02,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,441464,megawatthours,New York,New York
2025-07-01,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,473409,megawatthours,New York,New York
2025-06-30,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,448097,megawatthours,New York,New York
2025-06-29,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,389030,megawatthours,New York,New York
2025-06-28,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,360506,megawatthours,New York,New York
2025-06-27,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,348365,megawatthours,New York,New York
2025-06-26,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,432053,megawatthours,New York,New York
2025-06-25,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,536270,megawatthours,New York,New York
2025-06-24,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,565351,megawatthours,New York,New York
2025-06-23,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,532600,megawatthours,New York,New York
2025-06-22,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,429326,megawatthours,New York,New York
2025-06-21,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,376632,megawatthours,New York,New York
2025-06-20,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,399367,megawatthours,New York,New York
2025-06-19,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,433649,megawatthours,New York,New York
2025-06-18,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,385515,megawatthours,New York,New York
2025-06-17,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,352238,megawatthours,New York,New York
2025-06-16,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,338901,megawatthours,New York,New York
2025-06-15,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,293909,megawatthours,New York,New York
2025-06-14,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,319202,megawatthours,New York,New York
2025-06-13,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,349912,megawatthours,New York,New York
2025-06-12,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,387064,megawatthours,New York,New York
2025-06-11,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,365028,megawatthours,New York,New York
2025-06-10,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,341393,megawatthours,New York,New York
2025-06-09,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,341774,megawatthours,New York,New York
2025-06-08,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,317112,megawatthours,New York,New York
2025-06-07,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,350585,megawatthours,New York,New York
2025-06-06,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,401648,megawatthours,New York,New York
2025-06-05,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,397105,megawatthours,New York,New York
2025-06-04,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,352777,megawatthours,New York,New York
2025-06-03,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,314060,megawatthours,New York,New York
2025-06-02,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,311260,megawatthours,New York,New York
2025-06-01,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,296867,megawatthours,New York,New York
2025-05-31,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,309826,megawatthours,New York,New York
2025-05-30,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,331844,megawatthours,New York,New York
2025-05-29,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,326927,megawatthours,New York,New York
2025-05-28,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,326637,megawatthours,New York,New York
2025-05-27,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,315651,megawatthours,New York,New York
2025-05-26,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,297316,megawatthours,New York,New York
2025-05-25,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,296396,megawatthours,New York,New York
2025-05-24,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,304764,megawatthours,New York,New York
2025-05-23,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,324973,megawatthours,New York,New York
2025-05-22,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,341273,megawatthours,New York,New York
2025-05-21,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,336845,megawatthours,New York,New York
2025-05-20,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,323415,megawatthours,New York,New York
2025-05-19,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,323092,megawatthours,New York,New York
2025-05-18,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,324981,megawatthours,New York,New York
2025-05-17,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,321038,megawatthours,New York,New York
2025-05-16,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,361127,megawatthours,New York,New York
2025-05-15,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,343522,megawatthours,New York,New York
2025-05-14,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,340892,megawatthours,New York,New York
2025-05-13,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,326710,megawatthours,New York,New York
2025-05-12,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,314784,megawatthours,New York,New York
2025-05-11,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,252697,megawatthours,New York,New York
2025-05-10,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,266741,megawatthours,New York,New York
2025-05-09,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,307539,megawatthours,New York,New York
2025-05-08,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,298650,megawatthours,New York,New York
2025-05-07,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,298274,megawatthours,New York,New York
2025-05-06,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,318141,megawatthours,New York,New York
2025-05-05,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,315481,megawatthours,New York,New York
2025-05-04,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,290217,megawatthours,New York,New York
2025-05-03,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,296412,megawatthours,New York,New York
2025-05-02,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,327055,megawatthours,New York,New York
2025-05-01,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,313829,megawatthours,New York,New York
2025-04-30,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,314141,megawatthours,New York,New York
2025-04-29,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,325429,megawatthours,New York,New York
2025-04-28,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,293366,megawatthours,New York,New York
2025-04-27,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,286865,megawatthours,New York,New York
2025-04-26,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,304321,megawatthours,New York,New York
2025-04-25,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,309721,megawatthours,New York,New York
2025-04-24,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,317691,megawatthours,New York,New York
2025-04-23,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,305604,megawatthours,New York,New York
2025-04-22,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,324438,megawatthours,New York,New York
2025-04-21,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,314572,megawatthours,New York,New York
2025-04-20,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,274416,megawatthours,New York,New York
2025-04-19,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,308033,megawatthours,New York,New York
2025-04-18,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,296729,megawatthours,New York,New York
2025-04-17,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,307914,megawatthours,New York,New York
2025-04-16,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,340648,megawatthours,New York,New York
2025-04-15,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,329784,megawatthours,New York,New York
2025-04-14,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,302262,megawatthours,New York,New York
2025-04-13,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,292365,megawatthours,New York,New York
2025-04-12,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,312541,megawatthours,New York,New York
2025-04-11,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,344693,megawatthours,New York,New York
2025-04-10,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,339783,megawatthours,New York,New York
2025-04-09,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,335166,megawatthours,New York,New York
2025-04-08,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,366032,megawatthours,New York,New York
2025-04-07,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,311635,megawatthours,New York,New York
2025-04-06,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,289492,megawatthours,New York,New York
